compound_id,compound_name,producing_organism,mibig_cluster,canonical_smiles,lipid_tail_smiles
2,A54145 A,Streptomyces fradiae,BGC0000291,CCC(C)C1NC(=O)C(CCC(=O)O)NC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(C(OC)C(=O)O)NC(=O)C(CCCCN)NC(=O)C(CC(=O)O)NC(=O)C(C)NC(=O)CN(C)C(=O)C(NC(=O)C(NC(=O)C(CCC(=O)O)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)CCCCCCC(C)C)C(O)C(N)=O)C(C)OC1=O,CC(C)CCCCCCC(=O)O
3,A54145 A1,Streptomyces fradiae,BGC0000291,CCCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC1C(=O)N(C)CC(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(C(OC)C(=O)O)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(CCC(=O)O)C(=O)NC(C(C)CC)C(=O)OC1C)C(O)C(N)=O,CCCCCCCCCC(=O)O
4,A54145 B,Streptomyces fradiae,BGC0000291,CCCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC1C(=O)N(C)CC(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(C(OC)C(=O)O)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(C(C)CC(=O)O)C(=O)NC(C(C)CC)C(=O)OC1C)C(O)C(N)=O,CCCCCCCCCC(=O)O
5,A54145 B1,Streptomyces fradiae,BGC0000291,CCC(C)C1NC(=O)C(C(C)CC(=O)O)NC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(C(OC)C(=O)O)NC(=O)C(CCCCN)NC(=O)C(CC(=O)O)NC(=O)C(C)NC(=O)CN(C)C(=O)C(NC(=O)C(NC(=O)C(CCC(=O)O)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)CCCCCCC(C)C)C(O)C(N)=O)C(C)OC1=O,CC(C)CCCCCCC(=O)O
6,A54145 C,Streptomyces fradiae,BGC0000291,CCC(C)CCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC1C(=O)N(C)CC(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(C(OC)C(=O)O)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(C(C)CC(=O)O)C(=O)NC(C(C)C)C(=O)OC1C)C(O)C(N)=O,CCC(C)CCCCCCC(=O)O
7,A54145 D,Streptomyces fradiae,BGC0000291,CCC(C)CCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC1C(=O)N(C)CC(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(C(OC)C(=O)O)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(CCC(=O)O)C(=O)NC(C(C)CC)C(=O)OC1C)C(O)C(N)=O,CCC(C)CCCCCCC(=O)O
8,A54145 E,Streptomyces fradiae,BGC0000291,CCC(C)CCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC1C(=O)N(C)CC(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(C(OC)C(=O)O)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(C(C)CC(=O)O)C(=O)NC(C(C)CC)C(=O)OC1C)C(O)C(N)=O,CCC(C)CCCCCCC(=O)O
9,A54145 F,Streptomyces fradiae,BGC0000291,COC(C(=O)O)C1NC(=O)C(CCCCN)NC(=O)C(CC(=O)O)NC(=O)C(C)NC(=O)CN(C)C(=O)C(NC(=O)C(NC(=O)C(CCC(=O)O)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)CCCCCCC(C)C)C(O)C(N)=O)C(C)OC(=O)C(C(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(CC(N)=O)NC(=O)CNC1=O,CC(C)CCCCCCC(=O)O
10,Aculeacin A_,Aspergillus aculeatus NRRL 11270,BGC0001220,CCCCCCCCCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(C(C)O)NC(=O)C(C(O)C(O)c2ccc(O)cc2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O,CCCCCCCCCCCCCCCC(=O)O
12,Almiramide D,Oscillatoria nigroviridis,,C#CCCCCC(C)C(=O)N(C)C(C(=O)N(C)C(C(=O)NC(C(=O)N(C)C(C(=O)NC(C)C(N)=O)C(C)CC)C(C)CC)C(C)C)C(C)C,C#CCCCCC(C)C(=O)O
