compound_id,note
1,no_smiles
2,auto_extraction
3,auto_extraction
4,auto_extraction
5,auto_extraction
6,auto_extraction
7,auto_extraction
8,auto_extraction
9,auto_extraction
10,auto_extraction
11,no_smiles
12,auto_extraction
13,auto_extraction
14,auto_extraction
15,auto_extraction
16,auto_extraction
17,auto_extraction
18,auto_extraction
19,manual_extraction
20,manual_extraction
21,manual_extraction
22,manual_extraction
23,manual_extraction
24,no_smiles
25,no_smiles
26,no_smiles
27,no_smiles
28,manual_extraction
29,no_smiles
30,no_smiles
31,no_smiles
32,auto_extraction
33,auto_extraction
34,auto_extraction
35,no_smiles
36,no_smiles
37,no_smiles
38,no_smiles
39,no_smiles
40,no_smiles
41,no_smiles
42,no_smiles
43,no_smiles
44,no_smiles
45,no_smiles
46,auto_extraction
47,auto_extraction
48,auto_extraction
49,no_smiles
50,no_smiles
51,no_smiles
52,no_smiles
53,no_smiles
54,no_smiles
55,no_smiles
56,no_smiles
57,no_smiles
58,auto_extraction
59,manual_extraction
60,manual_extraction
61,auto_extraction
62,auto_extraction
63,auto_extraction
64,no_smiles
65,auto_extraction
66,auto_extraction
67,auto_extraction
68,auto_extraction
69,auto_extraction
70,auto_extraction
71,auto_extraction
72,auto_extraction
73,no_smiles
74,no_smiles
75,manual_extraction
76,manual_extraction
77,removed
78,removed
79,removed
80,removed
81,removed
82,removed
83,auto_extraction
84,auto_extraction
85,auto_extraction
86,auto_extraction
87,auto_extraction
88,auto_extraction
89,auto_extraction
90,auto_extraction
91,auto_extraction
92,auto_extraction
93,auto_extraction
94,auto_extraction
95,auto_extraction
96,auto_extraction
97,auto_extraction
98,auto_extraction
99,auto_extraction
100,auto_extraction
101,auto_extraction
102,auto_extraction
103,no_smiles
104,no_smiles
105,manual_extraction
106,manual_extraction
107,manual_extraction
108,manual_extraction
109,manual_extraction
110,manual_extraction
111,manual_extraction
112,manual_extraction
113,manual_extraction
114,manual_extraction
115,manual_extraction
116,no_smiles
117,no_smiles
118,manual_extraction
119,manual_extraction
120,manual_extraction
121,manual_extraction
122,manual_extraction
123,manual_extraction
124,no_smiles
125,no_smiles
126,manual_extraction
127,manual_extraction
128,manual_extraction
129,manual_extraction
130,manual_extraction
131,no_smiles
132,no_smiles
133,auto_extraction
134,auto_extraction
135,auto_extraction
136,auto_extraction
137,auto_extraction
138,auto_extraction
139,auto_extraction
140,auto_extraction
141,auto_extraction
142,auto_extraction
143,manual_extraction
144,no_smiles
145,manual_extraction
146,manual_extraction
147,auto_extraction
148,auto_extraction
149,auto_extraction
150,auto_extraction
151,manual_extraction
152,manual_extraction
153,auto_extraction
154,auto_extraction
155,no_smiles
156,manual_extraction
157,auto_extraction
158,no_smiles
159,manual_extraction
160,manual_extraction
161,manual_extraction
162,auto_extraction
163,manual_extraction
164,auto_extraction
165,auto_extraction
166,no_smiles
167,manual_extraction
168,manual_extraction
169,manual_extraction
170,auto_extraction
171,auto_extraction
172,auto_extraction
173,no_smiles
174,removed
175,manual_extraction
176,auto_extraction'
177,manual_extraction
178,manual_extraction
179,auto_extraction
180,auto_extraction
181,auto_extraction
182,auto_extraction
183,auto_extraction
184,auto_extraction
185,auto_extraction
186,auto_extraction
187,auto_extraction
188,auto_extraction
189,auto_extraction
190,auto_extraction
191,manual_extraction
192,manual_extraction
193,manual_extraction
194,manual_extraction
195,manual_extraction
196,manual_extraction
197,manual_extraction
198,no_smiles
199,auto_extraction
200,auto_extraction
201,auto_extraction
202,auto_extraction
203,manual_extraction
204,manual_extraction
205,manual_extraction
206,manual_extraction
207,no_smiles
208,manual_extraction
209,auto_extraction
210,manual_extraction
211,manual_extraction
212,manual_extraction
213,manual_extraction
214,manual_extraction
215,manual_extraction
216,manual_extraction
217,manual_extraction
218,manual_extraction
219,manual_extraction
220,manual_extraction
221,manual_extraction
222,manual_extraction
223,manual_extraction
224,manual_extraction
225,removed
226,manual_extraction
227,manual_extraction
228,manual_extraction
229,manual_extraction
230,manual_extraction
231,manual_extraction
232,manual_extraction
233,manual_extraction
234,manual_extraction
235,manual_extraction
236,no_smiles
237,no_smiles
238,no_smiles
239,no_smiles
240,auto_extraction
241,auto_extraction
242,auto_extraction
243,manual_extraction
244,manual_extraction
245,auto_extraction
246,auto_extraction
247,auto_extraction
248,auto_extraction
249,auto_extraction
250,auto_extraction
251,auto_extraction
252,auto_extraction
253,auto_extraction
254,manual_extraction
255,manual_extraction
256,auto_extraction
257,auto_extraction
258,auto_extraction
259,auto_extraction
260,auto_extraction
261,manual_extraction
262,auto_extraction
263,manual_extraction
264,auto_extraction
265,auto_extraction
266,auto_extraction
267,auto_extraction
268,auto_extraction
269,auto_extraction
270,auto_extraction
271,auto_extraction
272,auto_extraction
273,auto_extraction
274,auto_extraction
275,auto_extraction
276,auto_extraction
277,auto_extraction
278,manual_extraction
279,manual_extraction
280,manual_extraction
281,manual_extraction
282,manual_extraction
283,manual_extraction
284,manual_extraction
285,manual_extraction
286,manual_extraction
287,manual_extraction
288,manual_extraction
289,manual_extraction
290,manual_extraction
291,manual_extraction
292,manual_extraction
293,manual_extraction
294,manual_extraction
295,manual_extraction
296,manual_extraction
297,manual_extraction
298,manual_extraction
299,no_smiles
300,manual_extraction
301,manual_extraction
302,manual_extraction
303,manual_extraction
304,manual_extraction
305,manual_extraction
306,manual_extraction
307,manual_extraction
308,manual_extraction
309,manual_extraction
310,manual_extraction
311,manual_extraction
312,manual_extraction
313,manual_extraction
314,manual_extraction
315,manual_extraction
316,manual_extraction
317,auto_extraction
318,auto_extraction
319,auto_extraction
320,auto_extraction
321,auto_extraction
322,manual_extraction
323,auto_extraction
324,auto_extraction
325,auto_extraction
326,auto_extraction
327,auto_extraction
328,auto_extraction
329,auto_extraction
330,auto_extraction
331,auto_extraction
332,auto_extraction
333,auto_extraction
334,auto_extraction
335,manual_extraction
336,manual_extraction
337,removed
338,manual_extraction
339,manual_extraction
340,manual_extraction
341,manual_extraction
342,no_smiles
343,no_smiles
244,auto_extraction
345,auto_extraction
346,auto_extraction
347,auto_extraction
348,auto_extraction
349,auto_extraction
350,auto_extraction
351,auto_extraction
352,auto_extraction
353,auto_extraction
354,auto_extraction
355,auto_extraction
356,auto_extraction
357,auto_extraction
358,auto_extraction
359,auto_extraction
360,auto_extraction
361,auto_extraction
362,auto_extraction
363,auto_extraction
364,auto_extraction
365,auto_extraction
366,manual_extraction
367,auto_extraction
368,auto_extraction
369,auto_extraction
370,auto_extraction
371,auto_extraction
372,auto_extraction
373,auto_extraction
374,auto_extraction
375,auto_extraction
376,auto_extraction
377,auto_extraction
378,auto_extraction
379,auto_extraction
380,no_smiles
381,auto_extraction
382,auto_extraction
383,auto_extraction
384,auto_extraction
385,auto_extraction
386,auto_extraction
387,auto_extraction
388,auto_extraction
389,auto_extraction
390,auto_extraction
391,auto_extraction
392,auto_extraction
393,auto_extraction
394,auto_extraction
395,auto_extraction
396,auto_extraction
397,auto_extraction
398,auto_extraction
399,auto_extraction
400,auto_extraction
401,auto_extraction
402,auto_extraction
403,no_smiles
404,no_smiles
405,no_smiles
406,no_smiles
407,auto_extraction
408,auto_extraction
409,auto_extraction
410,auto_extraction
411,auto_extraction
412,auto_extraction
413,auto_extraction
414,auto_extraction
415,auto_extraction
416,auto_extraction
417,auto_extraction
418,auto_extraction
419,auto_extraction
420,auto_extraction
421,auto_extraction
422,auto_extraction
423,auto_extraction
424,auto_extraction
425,manual_extraction
426,manual_extraction
427,manual_extraction
428,manual_extraction
429,manual_extraction
430,manual_extraction
431,manual_extraction
432,manual_extraction
433,manual_extraction
434,manual_extraction
435,auto_extraction
436,auto_extraction
437,manual_extraction
438,manual_extraction
439,manual_extraction
440,manual_extraction
441,manual_extraction
442,manual_extraction
443,manual_extraction
444,manual_extraction
445,manual_extraction
446,manual_extraction
447,manual_extraction
448,manual_extraction
449,manual_extraction
450,manual_extraction
451,manual_extraction
452,manual_extraction
453,manual_extraction
454,manual_extraction
455,manual_extraction
456,manual_extraction
457,manual_extraction
458,manual_extraction
459,manual_extraction
460,manual_extraction
461,manual_extraction
462,manual_extraction
463,manual_extraction
464,manual_extraction
465,manual_extraction
466,manual_extraction
467,manual_extraction
468,manual_extraction
469,manual_extraction
470,manual_extraction
471,manual_extraction
472,no_smiles
473,auto_extraction
474,auto_extraction
475,no_smiles
476,no_smiles
477,no_smiles
478,no_smiles
479,no_smiles
480,no_smiles
481,no_smiles
482,no_smiles
483,no_smiles
484,auto_extraction
485,auto_extraction
486,auto_extraction
487,auto_extraction
488,auto_extraction
489,auto_extraction
490,auto_extraction
491,auto_extraction
492,auto_extraction
493,auto_extraction
494,auto_extraction
495,auto_extraction
496,auto_extraction
497,auto_extraction
498,auto_extraction
499,manual_extraction
500,no_smiles
501,no_smiles
502,manual_extraction
503,manual_extraction
504,manual_extraction
505,manual_extraction
506,manual_extraction
507,auto_extraction
508,auto_extraction
509,auto_extraction
510,auto_extraction
511,auto_extraction
512,auto_extraction
513,auto_extraction
514,auto_extraction
515,auto_extraction
516,auto_extraction
517,auto_extraction
518,auto_extraction
519,auto_extraction
520,auto_extraction
521,auto_extraction
522,auto_extraction
523,auto_extraction
524,auto_extraction
525,auto_extraction
526,auto_extraction
527,auto_extraction
528,auto_extraction
529,no_smiles
530,auto_extraction
531,auto_extraction
532,auto_extraction
533,no_smiles
534,auto_extraction
535,auto_extraction
536,auto_extraction
537,auto_extraction
538,auto_extraction
539,auto_extraction
540,auto_extraction
541,auto_extraction
542,auto_extraction
543,auto_extraction
544,auto_extraction
545,auto_extraction
546,auto_extraction
547,auto_extraction
548,auto_extraction
549,auto_extraction
550,auto_extraction
551,auto_extraction
552,auto_extraction
553,auto_extraction
554,auto_extraction
555,auto_extraction
556,auto_extraction
557,auto_extraction
558,auto_extraction
559,auto_extraction
560,auto_extraction
561,auto_extraction
562,auto_extraction
563,removed
564,removed
565,removed
566,removed
567,removed
568,removed
569,removed
570,removed
571,removed
572,removed
573,removed
574,removed
575,removed
576,removed
577,removed
578,removed
579,removed
580,removed
581,removed
582,auto_extraction
583,auto_extraction
584,auto_extraction
585,auto_extraction
586,auto_extraction
587,auto_extraction
588,auto_extraction
589,auto_extraction
590,no_smiles
591,manual_extraction
592,manual_extraction
593,manual_extraction
594,manual_extraction
595,manual_extraction
596,manual_extraction
597,manual_extraction
598,auto_extraction
599,auto_extraction
600,auto_extraction
601,auto_extraction
602,auto_extraction
603,auto_extraction
604,auto_extraction
